Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Joel Embiid,Philadelphia 76ers,P,29,34,34,1157,11,22,1,3,10,18,10,11,8,5,3,35,41708085,47607350,"12,391499743248316",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHI-2024.png
Drew Eubanks,Phoenix Suns,P,26,58,4,922,2,3,0,0,2,3,1,1,2,0,0,5,3645051,2346614,"-55,332386448443",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Tosan Evbuomwan,TOT,AL,22,6,0,90,1,3,0,1,0,1,0,0,1,1,0,2,2957291,64343,"-4496,135237789091",
Dante Exum,Dallas Mavericks,BA,28,38,14,722,3,5,0,1,2,3,1,1,2,2,0,8,7448710,3000000,"-148,29035830646075",https://cdn.ssref.net/req/202312151/tlogo/bbr/DAL-2024.png
Bruno Fernando,Atlanta Hawks,P,25,26,1,315,1,3,0,0,1,3,1,1,2,0,0,4,3459022,2581522,"-33,99159281876575",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Dorian Finney-Smith,Brooklyn Nets,AP,30,55,44,1560,3,7,1,5,1,2,0,0,3,1,0,8,9268451,13394160,"30,802297309743953",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Malachi Flynn,TOT,BA,25,54,0,607,1,3,0,1,0,1,0,0,1,1,0,4,3244671,3873025,"16,223845297008673",
Simone Fontecchio,TOT,AL,28,62,39,1500,3,8,1,4,1,3,0,0,2,1,0,10,8636289,3044872,"-183,63389605462788",
Trent Forrest,Atlanta Hawks,ES,25,25,0,250,0,2,0,0,0,1,0,0,1,1,0,2,3177966,968162,"-228,24736122709498",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Evan Fournier,TOT,ES,31,14,0,230,2,6,1,4,1,2,0,1,1,1,0,6,9184727,18857143,"51,293110532762576",
De'Aaron Fox,Sacramento Kings,BA,26,54,54,1931,9,21,2,7,7,13,4,6,3,5,2,27,29570447,32600060,"9,293272781747913",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Alex Fudge,Los Angeles Lakers,AL,20,4,0,14,0,1,0,0,0,1,0,0,0,0,0,1,2453361,241285,"-916,790095345133",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAL-2024.png
Markelle Fultz,Orlando Magic,BA,25,27,15,603,3,7,0,0,3,7,0,0,2,3,1,8,8868875,17000000,"47,83014423930613",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Daniel Gafford,TOT,AP,25,57,49,1410,4,6,0,0,4,6,1,2,5,1,0,10,15566504,12402000,"-25,516081798063656",
Danilo Gallinari,TOT,AP,35,40,0,551,1,4,0,2,1,2,1,2,2,1,0,6,7537176,1047112,"-619,806124932886",
Darius Garland,Cleveland Cavaliers,BA,24,39,39,1295,6,14,2,5,4,8,3,3,1,6,3,18,22027626,34005250,"35,2228661053658",https://cdn.ssref.net/req/202312151/tlogo/bbr/CLE-2024.png
Usman Garuba,Golden State Warriors,AP,21,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2025026,2588400,"21,76532555850835",https://cdn.ssref.net/req/202312151/tlogo/bbr/GSW-2024.png
Kaiser Gates,New Orleans Pelicans,AL,27,1,0,7,0,4,0,2,0,2,0,0,1,0,0,0,6012863,35389,"-16890,76968198253",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Keyonte George,Utah Jazz,BA,20,57,26,1459,4,10,2,5,2,4,2,2,2,4,2,12,5937385,3889800,"-52,639853325872274",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Paul George,Los Angeles Clippers,AP,33,57,57,1938,7,16,3,8,4,8,3,3,4,3,2,22,37713443,45640165,"17,36786260933501",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAC-2024.png
Josh Giddey,Oklahoma City Thunder,ES,21,62,62,1531,4,10,0,2,3,7,1,1,4,4,2,11,6165388,6587160,"6,402927271756551",https://cdn.ssref.net/req/202312151/tlogo/bbr/OKC-2024.png
Harry Giles,TOT,P,25,18,0,85,1,2,0,0,1,1,0,0,0,0,0,3,2972572,2092354,"-42,06832872522669",
Anthony Gill,Washington Wizards,AP,31,33,0,175,0,1,0,0,0,1,0,0,0,0,0,2,3265691,1997238,"-63,51038488959816",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Jacob Gilyard,Memphis Grizzlies,BA,25,37,14,654,1,3,1,3,0,0,0,0,0,3,0,4,4488499,398925,"-1025,1488096092319",https://cdn.ssref.net/req/202312151/tlogo/bbr/MEM-2024.png
Rudy Gobert,Minnesota Timberwolves,P,31,62,62,2104,5,8,0,0,5,8,3,5,9,1,1,13,24348507,41000000,"40,61339667676198",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Jordan Goodwin,TOT,BA,25,46,5,730,2,5,0,2,1,3,0,0,2,2,0,5,3766794,1927986,"-95,37458421553629",
