Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salario
Spencer Dinwiddie,BA,30,TOT,59,49,1747,215,553,0.389,100,312,0.321,115,241,0.477,0.479,133,171,0.778,27,143,170,324,43,13,73,106,663,1554664
Donte DiVincenzo,ES,27,NYK,62,44,1638,314,711,0.442,200,495,0.404,114,216,0.528,0.582,57,78,0.731,49,163,212,160,77,24,83,121,885,10900000
Luka Dončić,BA,24,DAL,56,56,2104,662,1332,0.497,220,579,0.38,442,753,0.587,0.58,399,506,0.789,42,463,505,548,82,33,222,117,1943,40064220
Luguentz Dort,AL,24,OKC,61,61,1739,222,505,0.44,121,301,0.402,101,204,0.495,0.559,86,105,0.819,63,167,230,80,55,42,53,183,651,15277778
Ayo Dosunmu,ES,24,CHI,62,23,1701,261,532,0.491,92,230,0.4,169,302,0.56,0.577,57,73,0.781,42,125,167,178,53,29,75,129,671,6481481
Andre Drummond,P,30,CHI,64,10,1097,215,391,0.55,0,3,0.0,215,388,0.554,0.55,96,170,0.565,217,347,564,30,61,41,70,115,526,3360000
Chris Duarte,AL,26,SAC,43,11,569,60,156,0.385,32,90,0.356,28,66,0.424,0.487,21,27,0.778,19,64,83,35,23,5,20,67,173,4124280
Kris Dunn,BA,29,UTA,56,28,1029,124,256,0.484,35,90,0.389,89,166,0.536,0.553,17,25,0.68,41,115,156,220,59,23,71,109,300,2586484
Kevin Durant,AP,35,PHO,57,57,2123,586,1108,0.529,126,298,0.423,460,810,0.568,0.586,317,371,0.854,32,349,381,311,50,73,191,103,1615,47649433
Jalen Duren,P,20,DET,48,47,1431,280,448,0.625,0,3,0.0,280,445,0.629,0.625,98,126,0.778,156,407,563,126,23,40,96,161,658,4330680
Tari Eason,AP,22,HOU,22,0,480,88,189,0.466,18,50,0.36,70,139,0.504,0.513,21,33,0.636,46,107,153,27,31,19,20,51,215,3527160
Anthony Edwards,ES,22,MIN,61,60,2138,558,1208,0.462,152,408,0.373,406,800,0.508,0.525,336,400,0.84,34,284,318,306,77,33,191,114,1604,13534817
Kessler Edwards,AL,23,SAC,39,0,189,21,53,0.396,12,33,0.364,9,20,0.45,0.509,4,6,0.667,5,25,30,9,4,4,1,18,58,1927896
Keon Ellis,ES,24,SAC,37,4,437,45,104,0.433,31,82,0.378,14,22,0.636,0.582,11,17,0.647,16,35,51,46,21,14,19,52,132,1450668
Joel Embiid,P,29,PHI,34,34,1157,402,754,0.533,41,112,0.366,361,642,0.562,0.56,356,403,0.883,89,295,384,193,39,60,126,98,1201,47607350
Drew Eubanks,P,26,PHO,58,4,922,126,202,0.624,3,3,1.0,123,199,0.618,0.631,61,80,0.763,78,169,247,51,22,49,53,90,316,2346614
Tosan Evbuomwan,AL,22,TOT,6,0,90,7,18,0.389,3,9,0.333,4,9,0.444,0.472,0,0,,8,8,16,6,1,1,1,6,17,64343
Dante Exum,BA,28,DAL,38,14,722,123,219,0.562,34,70,0.486,89,149,0.597,0.639,43,57,0.754,19,83,102,109,19,5,29,60,323,3000000
Bruno Fernando,P,25,ATL,26,1,315,48,87,0.552,0,3,0.0,48,84,0.571,0.552,27,44,0.614,31,64,95,16,12,16,19,46,123,2581522
Dorian Finney-Smith,AP,30,BRK,55,44,1560,181,425,0.426,106,284,0.373,75,141,0.532,0.551,22,32,0.688,93,167,260,85,42,32,50,125,490,13394160
Malachi Flynn,BA,25,TOT,54,0,607,77,193,0.399,36,106,0.34,41,87,0.471,0.492,28,37,0.757,13,67,80,89,22,6,42,51,218,3873025
Simone Fontecchio,AL,28,TOT,62,39,1500,228,498,0.458,122,305,0.4,106,193,0.549,0.58,48,59,0.814,61,159,220,96,41,20,61,100,626,3044872
